y,x,intensity,type
2431.0,334.0,255.0,star
1663.0,1663.0,255.0,star
1668.0,1673.0,255.0,star
1024.0,2745.0,255.0,star
576.0,1888.0,255.0,star
2841.0,1023.0,255.0,star
3097.0,958.0,255.0,star
947.0,2126.0,255.0,star
1684.0,1692.0,253.0,star
2475.0,1945.0,254.0,star
1820.0,1215.0,255.0,star
1215.0,222.0,251.0,star
349.0,1221.0,249.0,star
2928.0,2260.0,255.0,star
3155.0,764.0,255.0,star
944.0,1325.0,251.0,star
818.0,2240.0,252.0,star
411.0,904.0,252.0,star
301.0,1516.0,243.0,star
2279.0,1360.0,248.0,star
2252.0,176.0,244.0,star
2208.0,251.0,248.0,star
1565.0,1660.0,244.0,star
3213.0,1611.0,250.0,star
2433.0,1952.0,242.0,star
1638.0,1622.0,232.0,star
1582.0,1481.0,235.0,star
2478.0,1931.0,241.0,star
1580.0,2505.0,245.0,star
3149.0,2040.0,247.0,star
211.0,1437.0,245.0,star
2445.0,2348.0,234.0,star
1576.0,1509.0,243.0,star
2064.0,1781.0,243.0,star
1430.0,1999.0,228.0,star
925.0,904.0,245.0,star
2464.0,1853.0,230.0,star
2049.0,317.0,239.0,star
1347.0,2390.0,234.0,star
2081.0,781.0,238.0,star
2018.0,1278.0,228.0,star
1206.0,1605.0,237.0,star
1390.0,2289.0,233.0,star
1665.0,1548.0,219.0,star
816.0,1743.0,241.0,star
1164.0,1590.0,231.0,star
1011.0,1550.0,237.0,star
2014.0,1550.0,234.0,star
1637.0,1748.0,235.0,star
2268.0,180.0,230.0,star
168.0,1430.0,232.0,star
1316.0,2160.0,237.0,star
1028.0,1329.0,230.0,star
1468.0,1598.0,233.0,star
1550.0,1492.0,226.0,star
1793.0,2381.0,228.0,star
2530.0,1949.0,224.0,star
1716.0,1676.0,220.0,star
233.0,1396.0,228.0,star
1281.0,2274.0,226.0,star
302.0,1418.0,222.0,star
2221.0,2087.0,228.0,star
1629.0,1561.0,225.0,star
855.0,1588.0,230.0,star
195.0,1486.0,227.0,star
891.0,2176.0,230.0,star
2563.0,1953.0,232.0,star
1730.0,1650.0,214.0,star
2932.0,1920.0,220.0,star
907.0,2157.0,225.0,star
591.0,2381.0,231.0,star
1690.0,1550.0,218.0,star
2203.0,2059.0,227.0,star
2552.0,1900.0,225.0,star
2058.0,1582.0,215.0,star
1380.0,1204.0,214.0,star
2352.0,2065.0,220.0,star
1811.0,1825.0,224.0,star
1222.0,2229.0,233.0,star
233.0,2989.0,223.0,star
2317.0,2497.0,217.0,star
2494.0,1178.0,218.0,star
1202.0,1118.0,220.0,star
1860.0,2634.0,237.0,star
1503.0,286.0,216.0,star
2284.0,178.0,221.0,star
2163.0,389.0,226.0,star
1155.0,2084.0,219.0,star
1777.0,2067.0,214.0,star
247.0,1321.0,225.0,star
1769.0,1667.0,217.0,star
334.0,1332.0,206.0,star
220.0,1176.0,227.0,star
987.0,303.0,225.0,star
1657.0,1726.0,207.0,star
1261.0,2572.0,219.0,star
2106.0,2169.0,212.0,star
2657.0,1568.0,214.0,star
727.0,1060.0,225.0,star
1625.0,2694.0,220.0,star
2164.0,1663.0,205.0,star
2016.0,2808.0,224.0,star
1047.0,1683.0,221.0,star
2010.0,1806.0,219.0,star
854.0,1793.0,210.0,star
115.0,48.0,227.0,star
3119.0,1823.0,210.0,star
2292.0,61.0,226.0,star
2084.0,1982.0,207.0,star
1921.0,1754.0,221.0,star
646.0,987.0,220.0,star
2246.0,1353.0,213.0,star
1759.0,598.0,229.0,star
1657.0,2429.0,212.0,star
1169.0,2041.0,206.0,star
219.0,1462.0,224.0,star
1604.0,1505.0,203.0,star
577.0,2407.0,207.0,star
1347.0,2713.0,221.0,star
2446.0,1011.0,228.0,star
2202.0,1641.0,211.0,star
2723.0,1573.0,224.0,star
497.0,576.0,211.0,star
1774.0,2578.0,221.0,star
1931.0,1925.0,213.0,star
187.0,2689.0,230.0,star
2897.0,1245.0,221.0,star
1755.0,1803.0,212.0,star
1690.0,2563.0,214.0,star
680.0,1169.0,206.0,star
2587.0,1338.0,221.0,star
1138.0,1200.0,208.0,star
2313.0,1907.0,208.0,star
1138.0,772.0,220.0,star
1905.0,1782.0,214.0,star
744.0,1123.0,212.0,star
2152.0,1789.0,212.0,star
2291.0,2774.0,226.0,star
1609.0,1122.0,213.0,star
779.0,3176.0,220.0,star
1993.0,1936.0,219.0,star
2195.0,1653.0,209.0,star
1209.0,1882.0,215.0,star
1914.0,1880.0,215.0,star
846.0,895.0,219.0,star
1221.0,2570.0,206.0,star
1707.0,1586.0,197.0,star
2416.0,1820.0,209.0,star
1000.0,2248.0,204.0,star
1675.0,1843.0,207.0,star
2221.0,1361.0,212.0,star
2223.0,1618.0,209.0,star
253.0,1405.0,214.0,star
1670.0,1756.0,198.0,star
1269.0,2413.0,209.0,star
2237.0,1533.0,216.0,star
2166.0,2074.0,202.0,star
156.0,1247.0,212.0,star
2069.0,1760.0,203.0,star
1889.0,2925.0,196.0,star
1284.0,2148.0,217.0,star
1387.0,2485.0,200.0,star
317.0,1332.0,212.0,star
1068.0,1920.0,213.0,star
1750.0,1852.0,209.0,star
1303.0,2309.0,214.0,star
1808.0,196.0,199.0,star
1502.0,2663.0,204.0,star
538.0,1169.0,202.0,star
1425.0,1139.0,210.0,star
1173.0,2861.0,223.0,star
1625.0,1578.0,194.0,star
174.0,210.0,200.0,star
993.0,945.0,211.0,star
600.0,2404.0,215.0,star
481.0,773.0,200.0,star
790.0,1114.0,197.0,star
810.0,873.0,210.0,star
240.0,1428.0,204.0,star
2619.0,1374.0,215.0,star
1819.0,1600.0,205.0,star
1840.0,1846.0,199.0,star
1293.0,2810.0,215.0,star
1130.0,2472.0,210.0,star
1591.0,1309.0,209.0,star
1340.0,2492.0,208.0,star
1258.0,2282.0,195.0,star
1832.0,1733.0,203.0,star
2032.0,1945.0,205.0,star
1623.0,1756.0,200.0,star
1944.0,2905.0,193.0,star
1272.0,2291.0,207.0,star
1681.0,1307.0,205.0,star
2315.0,1301.0,202.0,star
1645.0,1556.0,194.0,star
2251.0,225.0,193.0,star
975.0,976.0,197.0,star
964.0,942.0,208.0,star
1727.0,1517.0,194.0,star
2271.0,1497.0,195.0,star
1731.0,1603.0,187.0,star
1763.0,2057.0,210.0,star
945.0,2297.0,203.0,star
1173.0,1712.0,205.0,star
1971.0,799.0,207.0,star
1798.0,2076.0,200.0,star
1620.0,1521.0,192.0,star
2166.0,1619.0,210.0,star
1015.0,1451.0,202.0,star
1346.0,1182.0,209.0,star
1852.0,1826.0,201.0,star
2183.0,1690.0,206.0,star
1838.0,1832.0,197.0,star
2400.0,1840.0,200.0,star
689.0,2515.0,194.0,star
1533.0,1466.0,193.0,star
268.0,1407.0,203.0,star
1710.0,1479.0,192.0,star
609.0,2283.0,196.0,star
2471.0,1912.0,210.0,star
2493.0,1852.0,199.0,star
2062.0,2784.0,192.0,star
2207.0,1298.0,192.0,star
1791.0,1834.0,201.0,star
2234.0,1650.0,205.0,star
1799.0,1724.0,194.0,star
1993.0,1954.0,212.0,star
2301.0,2791.0,192.0,star
1169.0,1793.0,201.0,star
2568.0,1032.0,211.0,star
1630.0,1543.0,186.0,star
1635.0,1511.0,190.0,star
890.0,2010.0,199.0,star
1180.0,2524.0,208.0,star
2254.0,2194.0,209.0,star
450.0,1190.0,187.0,star
1493.0,1481.0,195.0,star
1008.0,2190.0,202.0,star
2341.0,1224.0,209.0,star
373.0,1306.0,213.0,star
1762.0,1692.0,184.0,star
997.0,1364.0,204.0,star
862.0,2148.0,206.0,star
1658.0,1531.0,192.0,star
360.0,1331.0,205.0,star
1562.0,1714.0,187.0,star
1622.0,1490.0,193.0,star
1186.0,1701.0,199.0,star
1261.0,1562.0,192.0,star
1338.0,2433.0,203.0,star
2325.0,1849.0,209.0,star
1964.0,1845.0,208.0,star
1701.0,1766.0,187.0,star
2328.0,1235.0,203.0,star
249.0,269.0,214.0,star
1724.0,1570.0,185.0,star
2569.0,1174.0,193.0,star
350.0,1414.0,196.0,star
1541.0,2023.0,191.0,star
336.0,1555.0,200.0,star
1901.0,2903.0,202.0,star
1252.0,2215.0,210.0,star
1824.0,998.0,193.0,star
1370.0,1477.0,200.0,star
1261.0,1154.0,197.0,star
1673.0,1812.0,195.0,star
1191.0,1716.0,201.0,star
1404.0,2474.0,188.0,star
652.0,1164.0,204.0,star
2317.0,1280.0,191.0,star
2197.0,1673.0,196.0,star
699.0,98.0,207.0,star
1673.0,51.0,195.0,star
291.0,1385.0,194.0,star
2565.0,1939.0,210.0,star
2027.0,1858.0,193.0,star
1075.0,1126.0,197.0,star
1403.0,2515.0,194.0,star
1578.0,1576.0,190.0,star
952.0,1360.0,204.0,star
889.0,2468.0,205.0,star
980.0,1296.0,201.0,star
1008.0,1227.0,204.0,star
825.0,862.0,203.0,star
2145.0,404.0,204.0,star
2194.0,1740.0,199.0,star
2015.0,764.0,206.0,star
1341.0,1409.0,203.0,star
1751.0,1759.0,186.0,star
2015.0,1867.0,192.0,star
2235.0,1726.0,199.0,star
1812.0,1853.0,192.0,star
2843.0,1701.0,207.0,star
1337.0,2147.0,207.0,star
1872.0,2295.0,203.0,star
2407.0,1234.0,195.0,star
1396.0,1266.0,198.0,star
1113.0,1263.0,196.0,star
1686.0,1986.0,202.0,star
1066.0,2177.0,189.0,star
1489.0,1587.0,180.0,star
1398.0,1706.0,193.0,star
1673.0,174.0,199.0,star
1839.0,2100.0,201.0,star
980.0,2281.0,197.0,star
1286.0,1567.0,200.0,star
1765.0,1629.0,184.0,star
1770.0,1712.0,180.0,star
1747.0,1730.0,180.0,star
1285.0,2015.0,192.0,star
1869.0,1779.0,199.0,star
2231.0,1302.0,182.0,star
2340.0,1256.0,184.0,star
1807.0,1706.0,184.0,star
2095.0,1517.0,202.0,star
1182.0,2144.0,192.0,star
2165.0,1703.0,187.0,star
1142.0,1749.0,185.0,star
749.0,2589.0,212.0,star
1993.0,1113.0,197.0,star
1613.0,194.0,192.0,star
2141.0,1709.0,196.0,star
1775.0,1564.0,182.0,star
1295.0,690.0,186.0,star
2093.0,1820.0,194.0,star
2008.0,1145.0,199.0,star
1564.0,1563.0,183.0,star
1967.0,2078.0,202.0,star
1145.0,2069.0,191.0,star
2157.0,1185.0,195.0,star
1897.0,1822.0,184.0,star
709.0,1672.0,203.0,star
2828.0,1252.0,206.0,star
1701.0,235.0,192.0,star
2432.0,1237.0,196.0,star
1155.0,1833.0,190.0,star
1057.0,1313.0,196.0,star
1580.0,1224.0,202.0,star
2223.0,2554.0,213.0,star
1561.0,1727.0,180.0,star
2559.0,1505.0,204.0,star
1716.0,1538.0,184.0,star
1721.0,1802.0,188.0,star
2014.0,1951.0,203.0,star
2174.0,1643.0,194.0,star
1372.0,741.0,190.0,star
2010.0,2850.0,205.0,star
1785.0,1603.0,183.0,star
2272.0,1395.0,180.0,star
2176.0,1726.0,199.0,star
1653.0,929.0,175.0,star
991.0,2443.0,202.0,star
376.0,1218.0,182.0,star
1341.0,275.0,194.0,star
1414.0,1496.0,188.0,star
1157.0,2177.0,199.0,star
3051.0,1882.0,190.0,star
2343.0,728.0,193.0,star
1548.0,1613.0,178.0,star
2030.0,2171.0,184.0,star
219.0,1413.0,184.0,star
2340.0,1239.0,187.0,star
2133.0,277.0,206.0,star
188.0,1388.0,197.0,star
1914.0,1905.0,188.0,star
398.0,1190.0,194.0,star
2010.0,1731.0,191.0,star
1672.0,1826.0,182.0,star
1324.0,805.0,200.0,star
2167.0,1253.0,201.0,star
2068.0,2101.0,188.0,star
859.0,2025.0,201.0,star
287.0,1408.0,192.0,star
404.0,1211.0,184.0,star
1785.0,1636.0,178.0,star
2031.0,1786.0,199.0,star
2137.0,2164.0,180.0,star
2094.0,2185.0,180.0,star
1183.0,2095.0,185.0,star
2065.0,707.0,192.0,star
1668.0,1993.0,188.0,star
1267.0,2250.0,179.0,star
2418.0,281.0,200.0,star
1031.0,1392.0,190.0,star
1395.0,2347.0,194.0,star
2355.0,2861.0,208.0,star
2439.0,90.0,188.0,star
1661.0,1840.0,186.0,star
1670.0,2692.0,193.0,star
2248.0,471.0,179.0,star
1471.0,835.0,202.0,star
892.0,1348.0,193.0,star
1466.0,1545.0,184.0,star
1495.0,1557.0,183.0,star
1447.0,1497.0,175.0,star
1524.0,1685.0,180.0,star
2149.0,2134.0,187.0,star
2412.0,1268.0,199.0,star
1858.0,1593.0,185.0,star
1576.0,1542.0,175.0,star
1166.0,1918.0,191.0,star
2551.0,896.0,213.0,star
800.0,1662.0,197.0,star
2229.0,1473.0,197.0,star
1328.0,2350.0,197.0,star
1455.0,1705.0,192.0,star
1353.0,2409.0,198.0,star
2027.0,2827.0,208.0,star
1097.0,2681.0,194.0,star
1273.0,2469.0,186.0,star
832.0,2118.0,199.0,star
839.0,1099.0,200.0,star
927.0,2146.0,184.0,star
1203.0,2014.0,190.0,star
199.0,1267.0,182.0,star
1221.0,2407.0,191.0,star
1030.0,1314.0,188.0,star
2106.0,1634.0,192.0,star
983.0,2703.0,187.0,star
1211.0,1544.0,195.0,star
2179.0,2728.0,189.0,star
2141.0,1248.0,189.0,star
1516.0,2549.0,186.0,star
2568.0,1969.0,186.0,star
1310.0,1596.0,196.0,star
374.0,1234.0,180.0,star
1767.0,1778.0,182.0,star
1884.0,989.0,207.0,star
1536.0,1695.0,173.0,star
989.0,1209.0,185.0,star
2209.0,2127.0,194.0,star
963.0,1067.0,191.0,star
1540.0,1564.0,175.0,star
2177.0,451.0,197.0,star
2283.0,1952.0,181.0,star
1880.0,1231.0,195.0,star
1395.0,2417.0,190.0,star
2250.0,1515.0,188.0,star
1122.0,2717.0,203.0,star
1410.0,1679.0,190.0,star
2998.0,1900.0,178.0,star
967.0,899.0,190.0,star
859.0,949.0,189.0,star
2503.0,1215.0,182.0,star
1942.0,242.0,200.0,star
2637.0,1768.0,202.0,star
979.0,1232.0,194.0,star
777.0,1110.0,197.0,star
1524.0,1604.0,172.0,star
1484.0,1721.0,180.0,star
1527.0,1571.0,173.0,star
1850.0,1250.0,204.0,star
1488.0,2297.0,192.0,star
1426.0,2368.0,195.0,star
2202.0,1795.0,196.0,star
2893.0,1951.0,205.0,star
1037.0,2438.0,200.0,star
2309.0,1325.0,190.0,star
1414.0,1163.0,194.0,star
1759.0,1536.0,181.0,star
2432.0,1884.0,178.0,star
1760.0,2256.0,188.0,star
1538.0,1551.0,173.0,star
1636.0,2134.0,182.0,star
698.0,2122.0,197.0,star
2641.0,1784.0,196.0,star
2453.0,1974.0,190.0,star
279.0,1420.0,192.0,star
1691.0,1532.0,175.0,star
1680.0,1505.0,177.0,star
2580.0,1868.0,201.0,star
2098.0,2087.0,192.0,star
616.0,1009.0,182.0,star
1798.0,1623.0,168.0,star
420.0,1266.0,179.0,star
1507.0,1464.0,179.0,star
2203.0,1286.0,176.0,star
925.0,2556.0,207.0,star
919.0,1357.0,202.0,star
1925.0,2191.0,194.0,star
2148.0,2175.0,197.0,star
1278.0,2329.0,199.0,star
2999.0,1060.0,192.0,star
1680.0,1494.0,178.0,star
1583.0,1936.0,184.0,star
656.0,2831.0,203.0,star
2457.0,1879.0,186.0,star
1353.0,1217.0,184.0,star
1278.0,1550.0,183.0,star
1215.0,1191.0,178.0,star
1748.0,1530.0,170.0,star
1666.0,2707.0,204.0,star
1650.0,1315.0,188.0,star
2132.0,2883.0,184.0,star
981.0,1077.0,196.0,star
1656.0,856.0,198.0,star
1553.0,1455.0,178.0,star
1349.0,1359.0,190.0,star
496.0,1201.0,197.0,star
2331.0,2827.0,191.0,star
1686.0,1791.0,169.0,star
1331.0,2335.0,182.0,star
1863.0,1704.0,178.0,star
1147.0,2619.0,179.0,star
1254.0,2459.0,180.0,star
1835.0,1553.0,180.0,star
2379.0,219.0,176.0,star
1806.0,1683.0,171.0,star
668.0,1002.0,184.0,star
1887.0,2115.0,182.0,star
1707.0,1494.0,180.0,star
1863.0,1753.0,174.0,star
2113.0,1748.0,175.0,star
2190.0,377.0,196.0,star
1838.0,1863.0,175.0,star
603.0,1865.0,202.0,star
694.0,1156.0,193.0,star
2086.0,2115.0,195.0,star
1564.0,1751.0,170.0,star
1782.0,1820.0,175.0,star
1451.0,1747.0,186.0,star
1022.0,2205.0,184.0,star
213.0,1265.0,196.0,star
2954.0,2269.0,209.0,star
1077.0,2484.0,186.0,star
2608.0,1859.0,195.0,star
1605.0,1538.0,169.0,star
2186.0,1712.0,182.0,star
2924.0,1416.0,180.0,star
1247.0,910.0,200.0,star
1246.0,1837.0,194.0,star
1141.0,2827.0,202.0,star
1981.0,1939.0,182.0,star
1817.0,1756.0,173.0,star
1808.0,1660.0,168.0,star
1531.0,1585.0,168.0,star
1830.0,1510.0,174.0,star
1469.0,1484.0,174.0,star
1868.0,1039.0,202.0,star
1939.0,2923.0,185.0,star
649.0,1966.0,195.0,star
3065.0,1775.0,184.0,star
1529.0,1771.0,175.0,star
1151.0,1503.0,183.0,star
1107.0,1738.0,180.0,star
2124.0,1232.0,181.0,star
2332.0,1914.0,189.0,star
2087.0,693.0,199.0,star
1806.0,1648.0,167.0,star
1263.0,2487.0,188.0,star
209.0,1483.0,178.0,star
1120.0,1673.0,180.0,star
1792.0,1504.0,172.0,star
1511.0,1647.0,170.0,star
1389.0,1015.0,192.0,star
605.0,2178.0,197.0,star
1364.0,2911.0,199.0,star
1605.0,590.0,197.0,star
1047.0,2340.0,186.0,star
1414.0,1518.0,178.0,star
1232.0,259.0,198.0,star
1353.0,2604.0,194.0,star
2065.0,732.0,194.0,star
2014.0,1891.0,185.0,star
1626.0,873.0,182.0,star
1965.0,1579.0,187.0,star
1481.0,1637.0,178.0,star
1945.0,397.0,200.0,star
2501.0,1198.0,187.0,star
1834.0,1647.0,170.0,star
1801.0,1932.0,188.0,star
2426.0,807.0,195.0,star
922.0,928.0,187.0,star
580.0,1007.0,192.0,star
1165.0,1728.0,186.0,star
2960.0,1122.0,194.0,star
1106.0,1957.0,176.0,star
1709.0,202.0,182.0,star
1660.0,1193.0,194.0,star
2250.0,1374.0,182.0,star
356.0,2610.0,193.0,star
1934.0,1805.0,183.0,star
2070.0,1910.0,185.0,star
986.0,2463.0,192.0,star
2036.0,1130.0,182.0,star
1195.0,2109.0,178.0,star
589.0,1053.0,190.0,star
2668.0,1217.0,178.0,star
1705.0,1835.0,173.0,star
2147.0,2888.0,174.0,star
1487.0,1532.0,176.0,star
915.0,2201.0,172.0,star
1370.0,1009.0,171.0,star
933.0,303.0,183.0,star
1014.0,2096.0,171.0,star
2102.0,1255.0,178.0,star
2298.0,1289.0,170.0,star
2175.0,1766.0,182.0,star
168.0,1249.0,178.0,star
1539.0,1509.0,169.0,star
576.0,2265.0,205.0,star
1385.0,733.0,185.0,star
2079.0,1700.0,180.0,star
1586.0,189.0,194.0,star
760.0,1102.0,183.0,star
2954.0,1242.0,190.0,star
2164.0,1430.0,186.0,star
2150.0,1201.0,182.0,star
1402.0,1514.0,172.0,star
1506.0,1581.0,168.0,star
2199.0,316.0,200.0,star
1862.0,1856.0,174.0,star
412.0,1247.0,191.0,star
1592.0,1756.0,164.0,star
2320.0,1975.0,165.0,star
1678.0,2405.0,195.0,star
1128.0,2315.0,180.0,star
2033.0,1046.0,182.0,star
920.0,2189.0,194.0,star
191.0,1457.0,184.0,star
1208.0,2429.0,192.0,star
1243.0,283.0,195.0,star
1521.0,2233.0,185.0,star
1967.0,1749.0,178.0,star
945.0,2432.0,183.0,star
2627.0,1868.0,186.0,star
1103.0,2439.0,182.0,star
2138.0,1809.0,176.0,star
926.0,2298.0,178.0,star
1012.0,2446.0,194.0,star
2212.0,1584.0,184.0,star
1226.0,1782.0,168.0,star
1329.0,2403.0,167.0,star
1816.0,2248.0,195.0,star
1706.0,2261.0,173.0,star
2252.0,1530.0,174.0,star
994.0,2271.0,175.0,star
2347.0,1900.0,185.0,star
1462.0,2863.0,207.0,star
2184.0,1206.0,182.0,star
1943.0,1765.0,173.0,star
929.0,2176.0,184.0,star
2058.0,1825.0,172.0,star
1349.0,2456.0,185.0,star
2343.0,1202.0,187.0,star
1415.0,2431.0,185.0,star
1105.0,1980.0,184.0,star
1208.0,2099.0,173.0,star
1582.0,1806.0,173.0,star
762.0,2062.0,177.0,star
1081.0,1384.0,186.0,star
1749.0,2871.0,195.0,star
1828.0,172.0,173.0,star
1512.0,1551.0,164.0,star
137.0,1384.0,190.0,star
2752.0,2022.0,194.0,star
2227.0,1344.0,163.0,star
1845.0,442.0,184.0,star
1805.0,1110.0,191.0,star
1810.0,229.0,180.0,star
1628.0,1387.0,177.0,star
2059.0,1858.0,175.0,star
1663.0,1095.0,168.0,star
1814.0,2125.0,182.0,star
2077.0,1684.0,175.0,star
1138.0,2053.0,164.0,star
699.0,1124.0,178.0,star
1790.0,1081.0,188.0,star
694.0,979.0,183.0,star
1476.0,1667.0,170.0,star
1663.0,1962.0,178.0,star
1307.0,2478.0,184.0,star
1850.0,1717.0,165.0,star
1201.0,2521.0,178.0,star
1840.0,1592.0,168.0,star
2236.0,229.0,175.0,star
37.0,1316.0,205.0,star
1532.0,1901.0,175.0,star
1283.0,2391.0,190.0,star
1244.0,2284.0,165.0,star
2104.0,1559.0,184.0,star
1304.0,2943.0,198.0,star
1389.0,985.0,187.0,star
1248.0,2503.0,185.0,star
1209.0,2144.0,182.0,star
1281.0,2246.0,163.0,star
1800.0,400.0,178.0,star
1783.0,224.0,180.0,star
1628.0,1434.0,171.0,star
926.0,2134.0,182.0,star
2138.0,1230.0,173.0,star
2129.0,1507.0,172.0,star
1425.0,2549.0,183.0,star
1230.0,1620.0,183.0,star
2306.0,753.0,195.0,star
1115.0,2732.0,183.0,star
1888.0,1556.0,176.0,star
2056.0,1114.0,184.0,star
1441.0,832.0,201.0,star
2028.0,391.0,191.0,star
12.0,1482.0,201.0,star
2225.0,169.0,171.0,star
1862.0,1675.0,162.0,star
2044.0,1967.0,174.0,star
1805.0,1549.0,163.0,star
1277.0,147.0,196.0,star
1909.0,432.0,195.0,star
2058.0,2017.0,185.0,star
1109.0,2596.0,190.0,star
2043.0,2788.0,180.0,star
841.0,2742.0,202.0,star
2206.0,1399.0,172.0,star
1938.0,1865.0,168.0,star
775.0,937.0,180.0,star
2796.0,1738.0,181.0,star
1541.0,2429.0,195.0,star
2025.0,1572.0,176.0,star
1974.0,1060.0,182.0,star
247.0,1453.0,182.0,star
1338.0,2269.0,176.0,star
1642.0,1788.0,160.0,star
2735.0,885.0,174.0,star
1623.0,1792.0,162.0,star
1187.0,1623.0,183.0,star
1361.0,2546.0,182.0,star
2463.0,1198.0,181.0,star
1738.0,1461.0,169.0,star
2411.0,1571.0,174.0,star
1949.0,1980.0,167.0,star
1485.0,1460.0,164.0,star
383.0,1272.0,175.0,star
1167.0,2114.0,162.0,star
833.0,1689.0,167.0,star
172.0,1484.0,163.0,star
1911.0,2803.0,176.0,star
2786.0,1462.0,191.0,star
